perioada:1981 - 2010
parametru:Temperatura aer - medie lunara (TEMP_MEDL)
cod;statia;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII;anuala
element: media
406622;GREACA;-1.6;-0.6;5.3;11.5;17.3;20.4;22.3;21.9;18.3;11.4;3.7;0.7;10.7
445718;GRIVITA;-1.4;0.1;4.9;11.1;17.3;21;22.9;22.2;17.1;11.2;4.8;-0.1;10.9
441900;GURA PORTITEI;0.5;1.5;5.1;10.5;16.3;20.9;23.5;23.3;18.2;12.9;7.3;2;11.8
617220;GURAHONT;-0.8;0.6;5.3;10.6;15.8;18.6;20.6;20.1;15.4;10.5;5.1;0.8;10.2
440242;HALANGA;0;1.8;6.8;12.3;18.2;21.5;23.8;23.3;17.5;12;6.8;0.9;12.1
441757;HIRSOVA;-0.8;0.6;5.1;11;17;21.1;23.1;22.4;17.5;11.7;5.7;0.7;11.2
559519;HOGHIZ;-3;-1.7;3;8.7;13.4;17;18.5;18.2;13;8.7;2.6;-2.2;8
646207;HOLOD;-0.7;0.7;5.4;11;16.3;19.2;21.2;20.8;15.9;10.9;5.4;1;10.6
503826;HORIA;-0.8;1.1;4.7;10.6;16.1;20.4;22.5;21.4;15.9;10.6;4.8;0.7;10.7
651305;HUEDIN;-3.1;-1.9;2.9;8.9;14.4;17.2;19.2;18.8;13.9;8.5;2.8;-1.9;8.3
641803;HUSI-hydro;-2;-1.1;3.5;10.2;16.8;20.1;21.8;21.1;16.1;10.2;3.2;-0.8;9.9
710736;IASI;-2.3;-0.9;3.9;10.5;16.7;19.9;21.7;20.9;15.9;10.2;4;-0.9;10
712732;IASI BREAZU;-0.1;1.1;5.4;10.1;14.8;18.4;20.9;20.9;14.9;10;3.6;-0.4;10.2
910736;IASI ICHV;-3.2;-3.7;1.9;9.5;16.5;18.8;19.9;19.6;16.6;10.2;3.3;-0.4;9.1
737439;IEZER;-6.6;-6.9;-4.5;0.4;5.8;8.7;10.7;10.6;6.3;2.8;-1.8;-5.3;1.7
609331;IGHIU;-3.6;-3.3;3.8;9.9;15.6;18;19.9;19.2;16.2;9.1;2.1;-1.4;8.8
626152;INEU;-0.6;0.7;5.4;11;16.4;19.1;21.2;20.8;16.3;10.8;4.9;1.3;10.6
541601;INT.BUZAULUI;-4.6;-3.8;1;6.9;12.3;15.4;17.1;16.2;11.8;6.9;1.7;-3.4;6.4
